"Condition","Ploidy","Area","cell_top5_mean_area"
"PA","4N",753.142,12.688
"PA","4N",1875.638,11.24
"PA","4N",705.678,9.214
"PA","4N",1162.067,8.096
"PA","4N",1500.227,9.354
"PA","4N",2999.083,11.232
"PA","4N",2012.818,15.352
"PA","4N",2770.793,13.532
"PA","4N",2209.472,10.932
"PA","4N",1761.313,13.722
"PA","4N",2226.651,13.165
"PA","4N",1316.384,15.043
"PA","4N",2337.746,13.777
"PA","4N",1111.943,10.683
"PA","4N",1268.181,11.359
"PA","4N",3018.942,13.047
"PA","4N",2643.448,13.689
"PA","4N",2318.288,10.738
"PA","4N",2093.058,14.165
"PA","4N",1575.951,10.544
"PA","4N",836.358,12.224
"PA","4N",2677.679,12.287
"PA","4N",2248.136,13.591
"PA","4N",249.711,8.746
"PA","4N",2749.456,13.651
"PA","4N",2272.3,13.347
"PA","4N",3273.486,12.764
"PA","4N",1638.252,13.233
"PA","4N",2544.277,13.098
"PA","4N",1595.114,12.38
"PA","4N",3079.091,11.295
"PA","4N",1103.227,12.426
"PA","4N",1253.155,10.873
"PA","4N",2235.789,12.975
"PA","4N",2120.726,11.709
"PA","4N",2641.675,12.713
"PA","4N",2166.819,11.283
"PA","4N",3083.797,13.026
"PA","4N",827.705,9.489
"PA","4N",1725.414,12.595
"PA","4N",2417.29,10.62
"PA","4N",2356.17,13.87
"PA","4N",1559.848,12.059
"PA","4N",914.087,9.869
"PA","4N",690.081,11.544
"PA","4N",1388.984,14.82
"PA","4N",1744.831,11.422
"PA","4N",1633.757,11.223
"PA","4N",3592.251,13.925
"PA","4N",3633.026,15.63
"PA","4N",1101.053,13.093
"PA","4N",2535.075,10.713
"PA","4N",1914.808,14.001
"PA","4N",1555.585,12.705
"PA","4N",1422.921,13.617
"PA","4N",2384.704,13.401
"PA","4N",514.026,11.945
"PA","4N",3049.797,12.118
"PA","4N",1056.058,11.755
"PA","4N",2061.676,12.502
"PA","4N",2676.645,13.794
"PA","4N",2513.886,15.533
"PA","4N",971.069,9.598
"PA","4N",2222.599,11.198
"PA","4N",3468.979,11.76
"PA","4N",1213.921,13.224
"PA","4N",1867.66,12.663
"PA","4N",822.809,9.539
"PA","4N",3383.8,15.617
"PA","4N",2479.422,13.148
"PA","4N",2867.432,13.503
"PA","4N",2030.82,10.025
"PA","4N",2175.704,11.831
"PA","4N",1505.314,13.119
"PA","4N",2593.261,16.301
"PA","4N",2358.386,12.827
"PA","4N",2639.1,16.027
"PA","4N",1579.328,9.425
"PA","4N",3218.804,9.983
"PA","4N",1571.139,13.528
"PA","4N",2177.941,13.929
"PA","4N",1347.894,10.578
"PA","4N",3131.874,12.591
"PA","4N",2266.454,14.925
"PA","4N",3230.897,12.827
"PA","4N",2276.585,13.258
"PA","4N",3478.434,11.27
"PA","4N",4634.57,11.89
"PA","4N",2188.852,14.474
"PA","4N",2910.612,12.621
"PA","4N",233.713,14.187
"PA","4N",2676.54,12.815
"PA","4N",1750.635,13.591
"PA","4N",2788.247,12.718
"PA","4N",1823.952,12.384
"PA","4N",2257.464,11.658
