"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",48.202,9.544,6.43,1.484,206.609838780482
"PM",1,"t200",21.928,6.121,4.561,1.342,66.6716412568884
"PM",1,"t200",15.021,4.695,4.074,1.152,40.801513034066
"PM",1,"t200",43.444,8.46,6.538,1.294,189.347169711216
"PM",1,"t200",32.031,7.924,5.147,1.539,109.913598261493
"PM",1,"t200",27.022,7.463,4.61,1.619,83.0450813207555
"PM",1,"t200",33.731,8.236,5.214,1.58,117.234926075948
"PM",1,"t200",43.925,8.528,6.558,1.3,192.038647510637
"PM",1,"t200",48.196,8.99,6.826,1.317,219.326385712768
"PM",1,"t200",40.664,8.405,6.16,1.364,166.992806822976
"PM",1,"t200",44.187,8.719,6.452,1.351,190.043936391402
"PM",1,"t200",56.595,10.07,7.156,1.407,270.003103842365
"PM",1,"t200",44.294,9.713,5.806,1.673,171.437598327765
"PM",1,"t200",46.101,8.863,6.623,1.338,203.558331153292
"PM",1,"t200",45.593,9.174,6.328,1.45,192.349162226925
"PM",1,"t200",15.684,4.983,4.008,1.243,41.9126320955575
"PM",1,"t200",32.379,7.81,5.279,1.48,113.960141598373
"PM",1,"t200",19.009,5.646,4.287,1.317,54.330845442276
"PM",1,"t200",45.876,9.095,6.422,1.416,196.400201114824
"PM",1,"t200",26.947,6.406,5.356,1.196,96.2202970503476
"PM",1,"t200",32.416,7.539,5.475,1.377,118.326116929817
"PM",1,"t200",45.165,9.254,6.214,1.489,187.09863338315
"PM",1,"t200",46.085,9.69,6.055,1.6,186.016168347382
"PM",1,"t200",17.454,5.21,4.265,1.222,49.6220173922379
"PM",1,"t200",44.551,9.646,5.881,1.64,174.682033392961
"PM",1,"t200",50.057,9.715,6.56,1.481,218.901685719037
"PM",1,"t200",47.854,10.029,6.075,1.651,193.797789088718
"PM",1,"t200",13.541,4.389,3.928,1.117,35.4574224235161
"PM",1,"t200",21.901,6.286,4.436,1.417,64.7673419441425
"PM",1,"t200",51.586,9.983,6.579,1.517,226.245248031405
"PM",1,"t200",23.537,6.772,4.425,1.53,69.4291937173436
"PM",1,"t200",50.009,8.552,7.445,1.149,248.19653759581
"PM",1,"t200",29.888,6.7,5.68,1.179,113.180106023679
"PM",1,"t200",16.486,5.287,3.97,1.332,43.630375051084
"PM",1,"t200",8.879,3.489,3.241,1.077,19.1892346628945
"PM",1,"t200",45.909,8.944,6.535,1.369,199.996132165085
"PM",1,"t200",27.065,7.347,4.69,1.567,84.6163616622586
"PM",1,"t200",26.301,7.288,4.595,1.586,80.5708634253932
"PM",1,"t200",36.73,7.655,6.11,1.253,149.632605365679
"PM",1,"t200",45.128,10.205,5.631,1.812,169.427025387332
"PM",1,"t200",54.51,9.602,7.228,1.329,262.66161589797
"PM",1,"t200",41.718,8.451,6.285,1.345,174.790284020193
