"Condition","Ploidy","Cluster.Weighted_mean_radius","Cell.Mean_volume","Cell.Mean_AR"
"PM","2N",25.8903016565357,76.7175595725078,1.26579723955713
"PM","4N",42.897427899776,152.869750098171,1.40504911452188
"PA","2N",20.1569930151656,62.203903922152,1.22085211973018
"PA","4N",27.2986616320972,128.125911337717,1.3376969101792
