"Condition","Line","EvoTime","Replicate","Area","Radius","Volume"
"PM",NA,"t0","anc",1424.286,21.2923534291813,40435.2011949798
"PM",NA,"t0","anc",1577.952,22.4115533045678,47152.4738133992
"PM",NA,"t0","anc",2383.915,27.5467550234475,87558.8300022959
"PM",NA,"t0","anc",1635.446,22.816192279163,49752.8671975839
"PM",NA,"t0","anc",1909.327,24.6527414308762,62760.1931173207
"PM",NA,"t0","anc",1775.523,23.7732312495946,56279.8918239653
"PM",NA,"t0","anc",2091.218,25.8002977417993,71938.7293906801
"PM",NA,"t0","anc",2123.101,25.9962312204422,73590.1660004693
"PM",NA,"t0","anc",1864.377,24.3608216337971,60557.0074068716
"PM",NA,"t0","anc",1696.599,23.2388518345794,52569.3503782607
"PM",NA,"t0","anc",1524.117,22.0259281030512,44760.1219501841
"PM",NA,"t0","anc",1832.494,24.1516243050541,59010.2755056877
"PM",NA,"t0","anc",1580.043,22.4263975594721,47246.2299720813
"PM",NA,"t0","anc",2256.905,26.8028948749501,80655.4499436658
"PM",NA,"t0","anc",3086.911,31.3463600609304,129017.898242729
"PM",NA,"t0","anc",1544.501,22.172729591116,45661.070701611
"PM",NA,"t0","anc",2788.987,29.7953374630675,110798.411793478
"PM",NA,"t0","anc",1697.644,23.2460075802404,52617.9270567329
"PM",NA,"t0","anc",1457.737,21.5409400573861,41868.0337819118
"PM",NA,"t0","anc",1490.665,21.7828695650541,43294.6150135885
"PM",NA,"t0","anc",2181.64,26.3521835925224,76654.6370837206
"PM",NA,"t0","anc",1715.938,23.3709227348524,53470.7392210629
"PM",NA,"t0","anc",1862.286,24.3471568094032,60455.1590212749
"PM",NA,"t0","anc",1365.746,20.8501907381196,37968.0861330985
"PM",NA,"t0","anc",1619.243,22.702886491235,49015.3200409691
"PM",NA,"t0","anc",1583.179,22.4486419923025,47386.958107642
"PM",NA,"t0","anc",1384.563,20.993334440824,38755.4588178542
"PM",NA,"t0","anc",951.789,17.4058567229822,22088.937286014
"PM",NA,"t0","anc",2574.691,28.6277767066957,98276.9053823188
"PM",NA,"t0","anc",1533.002,22.0900360375334,45152.092567481
"PM",NA,"t0","anc",1474.463,21.6641674133166,42590.6843689881
"PM",NA,"t0","anc",2168.051,26.2699841463723,75939.5538647022
"PM",NA,"t0","anc",902.135,16.9457513605155,20383.1405381582
"PM",NA,"t0","anc",2419.457,27.751343792627,89524.2439979705
"PM",NA,"t0","anc",2487.404,28.1383241173512,93321.8399503943
"PM",NA,"t0","anc",2608.142,28.8131460130817,100198.368358468
"PM",NA,"t0","anc",921.474,17.126420643594,21042.0684481802
"PM",NA,"t0","anc",923.564,17.1458319052604,21113.6974636666
"PM",NA,"t0","anc",1366.269,20.8541825513838,37989.8975203955
"PM",NA,"t0","anc",2436.705,27.8500860180624,90483.2584675236
"PM",NA,"t0","anc",1842.425,24.2169794163552,59490.6244015709
"PM",NA,"t0","anc",2718.949,29.4188433955098,106651.113108504
"PM",NA,"t0","anc",2183.731,26.364809236291,76764.8683178333
"PM",NA,"t0","anc",1363.656,20.8342311150146,37880.9656871685
"PM",NA,"t0","anc",1742.594,23.5517493576285,54721.5161601431
"PM",NA,"t0","anc",1745.208,23.5694072867147,54844.6908693771
"PM",NA,"t0","anc",3297.026,32.3956165368866,142412.253344193
"PM",NA,"t0","anc",1508.959,21.9161257421563,44094.0469116779
"PM",NA,"t0","anc",1676.737,23.1024233280873,51648.9173118227
"PM",NA,"t0","anc",2772.261,29.7058594116003,109803.19402435
"PM",NA,"t0","anc",1952.709,24.9312370238635,64911.2678901754
"PM",NA,"t0","anc",1902.532,24.6088346814923,62425.4606189986
"PM",NA,"t0","anc",2149.757,26.1589163765017,74980.4181237321
"PM",NA,"t0","anc",2166.483,26.2604828049508,75857.1860916243
"PM",NA,"t0","anc",2494.199,28.176731531704,93704.5008128596
"PM",NA,"t0","anc",2122.055,25.9898265774465,73535.7885837376
"PM",NA,"t0","anc",1539.274,22.135178602073,45429.4732100363
"PM",NA,"t0","anc",2212.478,26.5377772310369,78285.6643900934
"PM",NA,"t0","anc",1042.211,18.2138975727189,25310.2992042145
"PM",NA,"t0","anc",2012.817,25.3120435796638,67931.3488291841
"PM",NA,"t0","anc",2118.919,25.9706154282618,73372.8406301828
"PM",NA,"t0","anc",1262.257,20.0446721600702,33735.370329005
"PM",NA,"t0","anc",2120.487,25.9802227785715,73454.2995454198
"PM",NA,"t0","anc",1880.057,24.4630482501474,61322.5668053698
"PM",NA,"t0","anc",1965.776,25.0145144830522,65563.9096299152
"PM",NA,"t0","anc",2995.443,30.8784572218243,123326.211381217
"PM",NA,"t0","anc",2582.531,28.6713297333087,98726.1304633219
"PM",NA,"t0","anc",2630.617,28.9370246891961,101496.305435759
"PM",NA,"t0","anc",2123.623,25.9994268288222,73617.3077340052
"PM",NA,"t0","anc",1628.651,22.7687442438778,49443.1174420477
"PM",NA,"t0","anc",1914.554,24.6864632102843,63018.0891801369
"PM",NA,"t0","anc",2550.125,28.4908757061702,96873.725880263
"PM",NA,"t0","anc",1788.067,23.857061915898,56877.3668383654
"PM",NA,"t0","anc",1749.912,23.6011501743379,55066.581205168
"PM",NA,"t0","anc",1939.642,24.8476804603025,64260.8061645095
"PM",NA,"t0","anc",2962.515,30.7082694476223,121298.278483497
"PM",NA,"t0","anc",2348.373,27.3406353683869,85608.0132026197
"PM",NA,"t0","anc",1688.759,23.1850961844425,52205.386463124
"PM",NA,"t0","anc",1970.48,25.0444258174835,65799.3869131133
"PM",NA,"t0","anc",1680.919,23.1312156095215,51842.266414855
"PM",NA,"t0","anc",2023.27,25.3776839648357,68461.2088473774
"PM",NA,"t0","anc",1846.084,24.2410145811952,59667.9322161481
"PM",NA,"t0","anc",1718.551,23.3887103793912,53592.9221482841
"PM",NA,"t0","anc",1359.474,20.8022598342061,37706.8418477966
"PM",NA,"t0","anc",1706.007,23.3031949311409,53007.2182331878
"PM",NA,"t0","anc",1376.2,20.92983672574,38404.8550692844
"PM",NA,"t0","anc",2072.401,25.6839585429734,70969.948491222
"PM",NA,"t0","anc",4546.739,38.0430279236209,230628.958317888
"PM",NA,"t0","anc",1192.741,19.4848980484051,30987.2490442037
"PM",NA,"t0","anc",1911.94,24.6696048567916,62889.0724131922
"PM",NA,"t0","anc",1701.826,23.274622238924,52812.4763551721
"PM",NA,"t0","anc",2602.392,28.7813672594894,99867.1998735428
"PM",NA,"t0","anc",1714.37,23.3602422842081,53397.4647530372
"PM",NA,"t0","anc",1849.742,24.2650193795385,59845.3673028616
"PM",NA,"t0","anc",1534.047,22.0975638017087,45198.2686097597
"PM",NA,"t0","anc",2611.801,28.8333501183042,100409.296896449
"PM",NA,"t0","anc",2651.524,29.0517865656071,102708.679095446
"PM",NA,"t0","anc",1154.586,19.1707104263091,29512.3118243608
"PM",NA,"t0","anc",2148.712,26.1525576600405,74925.7526330947
"PM",NA,"t0","anc",2350.464,27.35280476147,85722.3771878185
"PM",NA,"t0","anc",1832.494,24.1516243050541,59010.2755056877
"PM",NA,"t0","anc",1150.405,19.1359683479897,29352.1515564921
"PM",NA,"t0","anc",1843.993,24.2272821825666,59566.5850049032
"PM",NA,"t0","anc",2225.545,26.6160285476046,78980.2256719716
"PM",NA,"t0","anc",2435.137,27.841123923289,90395.9346495817
"PM",NA,"t0","anc",1902.532,24.6088346814923,62425.4606189986
"PM",NA,"t0","anc",1472.895,21.6526450996333,42522.7636053659
"PM",NA,"t0","anc",2309.695,27.1145487251636,83501.7834903556
"PM",NA,"t0","anc",1915.599,24.6931994618717,63069.6909279494
"PM",NA,"t0","anc",1707.575,23.3139015160545,53080.3138417023
"PM",NA,"t0","anc",2683.407,29.2259298698055,104566.75305886
"PM",NA,"t0","anc",2568.419,28.5928865202918,97918.0173380818
"PM",NA,"t0","anc",1584.224,22.4560495441569,47433.8835107232
"PM",NA,"t0","anc",1674.124,23.0844150867539,51528.2310969291
"PM",NA,"t0","anc",1357.384,20.7862634099469,37619.9218299299
"PM",NA,"t0","anc",1157.722,19.1967277954466,29632.6321290666
"PM",NA,"t0","anc",1725.869,23.4384548329904,53935.6034722112
"PM",NA,"t0","anc",1808.974,23.9961311058561,57877.8363614467
"PM",NA,"t0","anc",1639.627,22.8453383374786,49943.7780830201
"PM",NA,"t0","anc",2291.924,27.0100364231872,82539.9342922358
"PM",NA,"t0","anc",1434.217,21.3664561879797,40858.8462594076
"PM",NA,"t0","anc",1895.215,24.5614671985167,62065.6814088491
"PM",NA,"t0","anc",2108.988,25.9096841015667,72857.61713866
"PM",NA,"t0","anc",2054.63,25.5736004788102,70059.0490023704
"PM",NA,"t0","anc",2013.339,25.3153255546791,67957.7763159093
"PM",NA,"t0","anc",1312.956,20.4432598898592,35788.1343092666
"PM",NA,"t0","anc",2026.929,25.4006208446295,68647.0066773119
"PM",NA,"t0","anc",2077.105,25.7130911432636,71211.7202388382
"PM",NA,"t0","anc",1898.351,24.5817796497098,62219.7946397416
"PM",NA,"t0","anc",2278.335,26.9298450522566,81806.9447028439
"PM",NA,"t0","anc",1845.038,24.2341460708804,59617.2271977667
"PM",NA,"t0","anc",1971.525,25.0510658128252,65851.7367021735
"PM",NA,"t0","anc",2267.359,26.8648987570732,81216.4933079183
"PM",NA,"t0","anc",1572.203,22.370689707468,46895.020626867
"PM",NA,"t0","anc",1303.026,20.3658060914495,35382.8997974894
"PM",NA,"t0","anc",3402.083,32.9076989854625,149272.964383412
"PM",NA,"t0","anc",2113.693,25.9385693178609,73101.5631962365
"PM",NA,"t0","anc",3619.516,33.9430070264909,163809.676027328
"PM",NA,"t0","anc",1989.819,25.1670232529861,66770.4280563115
"PM",NA,"t0","anc",1533.002,22.0900360375334,45152.092567481
"PM",NA,"t0","anc",2779.579,29.7450411855296,110238.255777911
"PM",NA,"t0","anc",800.213,15.959815442316,17028.3357260561
"PM",NA,"t0","anc",1831.449,24.1447369573872,58959.8058078263
"PM",NA,"t0","anc",2582.531,28.6713297333087,98726.1304633219
"PM",NA,"t0","anc",1657.921,22.9724322789668,50781.9705285026
"PM",NA,"t0","anc",1999.75,25.2297482130923,67270.9186521752
"PM",NA,"t0","anc",2231.817,26.653506622076,79314.3322516824
"PM",NA,"t0","anc",1857.582,24.3163877867799,60226.2456769896
"PM",NA,"t0","anc",2212.478,26.5377772310369,78285.6643900934
"PM",NA,"t0","anc",1601.472,22.5779620436949,48210.6320400535
"PM",NA,"t0","anc",1679.873,23.124017458764,51793.883440675
"PM",NA,"t0","anc",1433.694,21.3625600985084,40836.4989838279
"PM",NA,"t0","anc",2030.065,25.4202627660632,68806.3809762507
"PM",NA,"t0","anc",182.413,7.61996465007836,1853.30748228633
"PM",NA,"t0","anc",1757.229,23.6504410738755,55412.3212237402
"PM",NA,"t0","anc",1984.592,25.1339462409161,66507.5048508696
"PM",NA,"t0","anc",1877.967,24.4494470699628,61220.3396875159
"PM",NA,"t0","anc",2436.182,27.8470970685097,90454.1288407414
"PM",NA,"t0","anc",2531.832,28.388503936567,95833.2302649683
"PM",NA,"t0","anc",1820.995,24.0757286741492,58455.7087159765
"PM",NA,"t0","anc",2269.972,26.8803744200186,81356.9297106114
"PM",NA,"t0","anc",1275.847,20.1522880427492,34281.6483233032
"PM",NA,"t0","anc",1327.069,20.552838790494,36366.7136278162
"PM",NA,"t0","anc",1860.718,24.3369047908753,60378.8224115573
"PM",NA,"t0","anc",1951.141,24.9212252836518,64833.0992282263
"PM",NA,"t0","anc",2225.022,26.6129009988846,78952.3869417868
"PM",NA,"t0","anc",1653.74,22.9434476741745,50589.996208919
"PM",NA,"t0","anc",1101.274,18.7228844358226,27492.0344455681
"PM",NA,"t0","anc",1552.341,22.2289335558059,46009.1799266043
"PM",NA,"t0","anc",1450.42,21.48681049199,41553.1995650563
"PM",NA,"t0","anc",2077.105,25.7130911432636,71211.7202388382
"PM",NA,"t0","anc",2092.786,25.8099684902371,72019.654289079
"PM",NA,"t0","anc",1772.387,23.7522273533164,56130.8519760831
"PM",NA,"t0","anc",2495.767,28.1855869144366,93792.8769289103
"PM",NA,"t0","anc",2086.514,25.7712637226211,71696.1367399213
"PM",NA,"t0","anc",2025.883,25.3940659830535,68593.8754345952
"PM",NA,"t0","anc",2884.114,30.2992078952747,116515.159572896
"PM",NA,"t0","anc",1652.694,22.936190595577,50542.0061068887
"PM",NA,"t0","anc",2127.805,26.0250142626532,73834.873964193
"PM",NA,"t0","anc",1474.463,21.6641674133166,42590.6843689881
"PM",NA,"t0","anc",2539.149,28.4294957604542,96248.9676408822
"PM",NA,"t0","anc",2923.837,30.507150353482,118930.579957432
"PM",NA,"t0","anc",1889.988,24.5275735687151,61809.0929519849
"PM",NA,"t0","anc",1414.355,21.2179918718402,40013.0305251953
"PM",NA,"t0","anc",1915.599,24.6931994618717,63069.6909279494
"PM",NA,"t0","anc",1578.475,22.4152670649707,47175.9182405061
"PM",NA,"t0","anc",1517.322,21.9767739471507,44461.1234653848
"PM",NA,"t0","anc",1373.587,20.909957475651,38295.5276788094
"PM",NA,"t0","anc",1572.725,22.3744031372549,46918.3775653856
"PM",NA,"t0","anc",1761.933,23.6820753459967,55634.9734141307
"PM",NA,"t0","anc",1720.642,23.4029348412341,53690.7634814544
"PM",NA,"t0","anc",1253.372,19.9740005673863,33379.8040521949
"PM",NA,"t0","anc",1140.474,19.0531926231688,28972.8944049544
"PM",NA,"t0","anc",2272.585,26.8958411783865,81497.4469658446
"PM",NA,"t0","anc",1340.658,20.6577998681222,36926.7262074626
"PM",NA,"t0","anc",1672.556,23.0736020160706,51455.8553247879
"PM",NA,"t0","anc",2096.444,25.8325153833437,72208.5625070916
"PM",NA,"t0","anc",1735.799,23.5057861414575,54401.7601047412
"PM",NA,"t0","anc",2207.774,26.5095509328154,78036.1297348607
"PM",NA,"t0","anc",1922.917,24.7403211662839,63431.4455414762
"PM",NA,"t0","anc",1392.925,21.0566331167297,39107.0809121609
"PM",NA,"t0","anc",1780.749,23.8081921092699,56528.5523871869
"PM",NA,"t0","anc",1835.107,24.1688373800867,59136.5368774118
"PM",NA,"t0","anc",1775.523,23.7732312495946,56279.8918239653
"PM",NA,"t0","anc",1426.899,21.3118759917039,40546.5260542484
"PM",NA,"t0","anc",2130.418,26.0409890577124,73970.9224351382
"PM",NA,"t0","anc",2388.096,27.5709007099145,87789.2769356588
"PM",NA,"t0","anc",1697.644,23.2460075802404,52617.9270567329
"PM",NA,"t0","anc",1263.302,20.0529677563137,33777.2723633154
"PM",NA,"t0","anc",3243.713,32.1326300797629,138972.039885224
"PM",NA,"t0","anc",1492.233,21.7943230312322,43362.9440531529
"PM",NA,"t0","anc",2487.404,28.1383241173512,93321.8399503943
"PM",NA,"t0","anc",1685.1,23.1599652246782,52035.8098668071
"PM",NA,"t0","anc",3109.386,31.4602654750635,130429.478699261
"PM",NA,"t0","anc",2088.604,25.7841676523213,71803.887593745
"PM",NA,"t0","anc",2533.4,28.3972932804874,95922.2703957158
"PM",NA,"t0","anc",1895.215,24.5614671985167,62065.6814088491
"PM",NA,"t0","anc",1307.73,20.4025338489887,35574.6741204506
"PM",NA,"t0","anc",1946.437,24.8911659014583,64598.781711649
"PM",NA,"t0","anc",2328.511,27.2247694459972,84524.2335032913
"PM",NA,"t0","anc",2273.108,26.8989358295726,81525.5816342508
"PM",NA,"t0","anc",1860.718,24.3369047908753,60378.8224115573
"PM",NA,"t0","anc",1311.388,20.4310490436196,35724.0433909523
"PM",NA,"t0","anc",1971.525,25.0510658128252,65851.7367021735
"PM",NA,"t0","anc",1668.897,23.0483494880321,51287.0950873711
"PM",NA,"t0","anc",1885.807,24.500428803076,61604.1068531231
"PM",NA,"t0","anc",1599.904,22.5669063042543,48139.8448850688
"PM",NA,"t0","anc",1300.412,20.3453679178342,35276.4807796887
"PM",NA,"t0","anc",2209.342,26.5189630370622,78119.2784456386
"PM",NA,"t0","anc",2221.886,26.5941399517517,78785.5296544505
"PM",NA,"t0","anc",2217.705,26.5691066116124,78563.254104141
"PM",NA,"t0","anc",1428.467,21.3235824426221,40613.3784547534
"PM",NA,"t0","anc",1893.124,24.5479140655943,61962.9936900189
"PM",NA,"t0","anc",1616.107,22.6808914117331,48872.9965023223
"PM",NA,"t0","anc",2335.306,27.2644638139891,84894.487908789
"PM",NA,"t0","anc",1769.251,23.7312048670218,55981.9439229109
"PM",NA,"t0","anc",1669.943,23.0555712630032,51335.3197888711
"PM",NA,"t0","anc",1082.98,18.5667240120416,26809.8543607477
"PM",NA,"t0","anc",1626.561,22.7541303235477,49347.9746309334
"PM",NA,"t0","anc",1789.112,23.864032288992,56927.2353821641
"PM",NA,"t0","anc",2143.485,26.1207286725823,74652.5201316667
"PM",NA,"t0","anc",1546.592,22.1877336267759,45753.8284337367
"PM",NA,"t0","anc",2075.015,25.7001515263949,71104.2665593898
"PM",NA,"t0","anc",1612.448,22.6552011546418,48707.1117218664
"PM",NA,"t0","anc",1412.264,21.2023015991535,39924.3296875025
"PM",NA,"t0","anc",2451.34,27.9335954792392,91299.6532561043
"PM",NA,"t0","anc",1674.124,23.0844150867539,51528.2310969291
"PM",NA,"t0","anc",2624.345,28.9025078195128,101133.535844799
"PM",NA,"t0","anc",1892.079,24.5411379349194,61911.6956303525
"PM",NA,"t0","anc",3092.66,31.3755358935136,129378.486448578
"PM",NA,"t0","anc",1228.806,19.7772874278036,32403.2659400129
"PM",NA,"t0","anc",1904.623,24.6223542812833,62528.4030377075
"PM",NA,"t0","anc",1474.985,21.6680019261767,42613.3037614424
"PM",NA,"t0","anc",2082.332,25.7454240966597,71480.6939333941
"PM",NA,"t0","anc",1216.784,19.6803042799205,31928.9058172517
"PM",NA,"t0","anc",772.512,15.6811417567603,16151.8269077312
"PM",NA,"t0","anc",1698.69,23.2531679682908,52666.5651947411
"PM",NA,"t0","anc",1245.531,19.9114246313111,33067.0621766154
"PM",NA,"t0","anc",1916.645,24.6999403198617,63121.3561524818
"PM",NA,"t0","anc",2539.149,28.4294957604542,96248.9676408822
"PM",NA,"t0","anc",2025.361,25.390794185907,68567.3657375504
"PM",NA,"t0","anc",2867.388,30.2112222183209,115503.061405529
"PM",NA,"t0","anc",1510.527,21.9275096043199,44162.7937334461
"PM",NA,"t0","anc",1944.346,24.877792385216,64494.7148173668
"PM",NA,"t0","anc",1393.971,21.0645377436464,39151.1396573981
"PM",NA,"t0","anc",1783.885,23.8291466761815,56677.9430912533
"PM",NA,"t0","anc",900.567,16.931018258536,20330.0217600466
"PM",NA,"t0","anc",2113.693,25.9385693178609,73101.5631962365
"PM",NA,"t0","anc",1209.99,19.6252841809622,31661.8634748299
"PM",NA,"t0","anc",1372.019,20.8980193255724,38229.9727694034
"PM",NA,"t0","anc",1800.611,23.940599041613,57476.9413078904
"PM",NA,"t0","anc",1501.642,21.86292510413,43773.7154389547
