"Cell_volume","Cell_AR","Cluster_radius_mean","Cluster_ncells_mean","Cluster_packfrac_mean"
25,1,15.9549727364517,268.22,0.388281821492347
25,1.1,18.7760963088399,363.82,0.327340164653576
25,1.2,20.8772540063863,424.56,0.275001698560609
25,1.3,22.3287969818001,469.14,0.246677411192422
25,1.4,24.4807156037,571.86,0.226816283353801
25,1.5,25.9144561911369,621.26,0.209798326569266
25,1.6,27.2573036966992,675.76,0.197369848209226
25,1.7,27.9259494358654,684.92,0.187103549714507
25,1.8,29.4675152263222,758.66,0.177026131045162
25,1.9,30.1993641289433,755,0.16305013544797
25,2,31.4152031409975,792.6,0.151383199504205
50,1,20.2959362181755,285.86,0.401940401624825
50,1.1,23.7234419991572,369.34,0.329218724714097
50,1.2,25.9116094474422,413.82,0.282013923843524
50,1.3,27.8246344628582,453.3,0.247466954902452
50,1.4,29.8814591642392,521.78,0.229071313050577
50,1.5,32.2229324905357,624.74,0.218145674677889
50,1.6,33.7615399266632,663.78,0.202718702215758
50,1.7,35.7785320849858,727.26,0.18990548497133
50,1.8,36.6347452153416,734.3,0.17874982851469
50,1.9,38.5509064687369,799.22,0.165069069727952
50,2,39.9711316676146,836.46,0.154603395118308
75,1,22.8532853357302,271.66,0.400531115278899
75,1.1,26.7414857695881,356.7,0.334228936934915
75,1.2,29.0862486446124,392.34,0.2848803244583
75,1.3,31.9402182499557,457.06,0.247131822311588
75,1.4,34.4726588063117,548.72,0.235050918487474
75,1.5,36.2836132191398,574.26,0.211413875238542
75,1.6,39.3592009649839,696.06,0.203688285167485
75,1.7,40.6902132099004,701.98,0.186556866861308
75,1.8,42.7964088345346,755.5,0.172059407255021
75,1.9,43.4808433531314,768.4,0.166260068672399
75,2,44.6418406237832,775.78,0.155893197754983
100,1,25.5317104952159,283.72,0.401764977122073
100,1.1,29.4478894935808,354.78,0.33131463591651
100,1.2,32.2727431881704,396.38,0.279675731618402
100,1.3,34.6548713956478,453.14,0.256678572243162
100,1.4,38.1666334927544,543.98,0.228191945481473
100,1.5,40.6614602440444,619.86,0.21681223215612
100,1.6,43.1709491577981,672.72,0.198394103047351
100,1.7,45.3679878007641,744.36,0.190081756711361
100,1.8,46.2270032118371,735.3,0.177441350898212
100,1.9,47.3502148335548,741.22,0.166784357245095
100,2,49.4676522292559,802.86,0.156926074637837
125,1,26.6802261750675,270.08,0.417195297786364
125,1.1,31.5283779744447,347.68,0.331629815498037
125,1.2,34.6747391968218,389.4,0.278154167145143
125,1.3,36.7968690213519,425.64,0.250566396293097
125,1.4,40.7063304445743,530.4,0.229066589626244
125,1.5,43.5555727248248,602.8,0.213329294704427
125,1.6,46.7974754694986,696.68,0.202184579482842
125,1.7,48.0187712384515,698.7,0.187962759072711
125,1.8,50.0017396801991,721.74,0.172542158707122
125,1.9,51.0401814527604,730.98,0.164438909082177
125,2,52.7188463649545,766.32,0.155740115036427
150,1,29.1040031896505,283.64,0.408140889866164
150,1.1,33.3141544653659,348.42,0.336651876849136
150,1.2,36.6866306306776,400.08,0.289229633515526
150,1.3,39.68278613909,454.4,0.255487289006009
150,1.4,42.71032166333,509.18,0.229693621659661
150,1.5,45.3043848543732,564.32,0.213430302239343
150,1.6,48.5922032319441,653.94,0.201959620762941
150,1.7,51.6465487920388,739.98,0.191471137314538
150,1.8,52.9925314164664,744.3,0.179158219271472
150,1.9,54.3562078266324,759.84,0.169249907766025
150,2,56.1743683071356,778.2,0.156543025645636
175,1,29.9911292360518,268.58,0.41041828323939
175,1.1,34.8095381354636,342.2,0.338727968699503
175,1.2,39.5179013974686,419.62,0.281472022222014
175,1.3,41.2267374340467,432.92,0.254897113201355
175,1.4,45.6359995909357,535.88,0.230385295815569
175,1.5,49.7053463694366,663,0.222474626674698
175,1.6,52.2361970900254,682.54,0.199014083985063
175,1.7,53.6399487508086,707.88,0.191490017005922
175,1.8,56.1886898623168,740.72,0.175165985358889
175,1.9,57.3114515178655,747.38,0.165857128089652
175,2,58.7056429621736,777.74,0.159961095210671
200,1,31.8633183513201,282.96,0.409623275510915
200,1.1,36.5110871858706,344.72,0.338901250614627
200,1.2,40.6190040363606,397.16,0.281717813038599
200,1.3,43.2706506527848,445.4,0.257997171187109
200,1.4,48.7371464324074,571.74,0.230353157847783
200,1.5,50.3603249181459,588.02,0.214491887170597
200,1.6,54.3889742500534,693.24,0.204216513678473
200,1.7,56.0523522573717,688.28,0.186160085245085
200,1.8,58.4249430218545,744.62,0.177669717092851
200,1.9,59.4504565722356,744.98,0.168509346621865
200,2,61.6040792535322,743.68,0.152265848296871
225,1,32.3336941647363,266.08,0.417586702714582
225,1.1,38.1318658287462,351.28,0.338708551523092
225,1.2,41.4498490933688,395.76,0.296624067924543
225,1.3,45.7101415030486,450.98,0.248978670858628
225,1.4,48.9052488852011,504.82,0.227481331997185
225,1.5,54.4996944093852,664.76,0.219109417445952
225,1.6,56.4236362637451,666.94,0.19762845341187
225,1.7,58.7124660866819,700.86,0.185374970812763
225,1.8,60.7096977682017,725.58,0.174801636482665
225,1.9,62.0713574869343,747.76,0.167520360241243
225,2,64.367655618507,786.62,0.156928325275641
250,1,33.8171096713548,273.62,0.418889244452574
250,1.1,39.4134028374316,342.44,0.332537497816421
250,1.2,43.0297647632384,388.54,0.290646723511853
250,1.3,47.9326336190933,483.62,0.257282864690517
250,1.4,50.6332914730109,523.34,0.233992777128431
250,1.5,55.7959554416541,639.98,0.21724178151363
250,1.6,59.0234930230807,700.28,0.203231874480168
250,1.7,60.8028500286882,705.5,0.185982726197127
250,1.8,62.9009360046155,716.3,0.172073562136772
250,1.9,65.5367363001853,792.64,0.167119381207595
250,2,66.5665420644535,773,0.156013506192736
