"Time","Condition","Line","EvoTime","Area","Radius","Volume"
"4h","PM",1,"t200",766.239,15.6173444887273,15955.4912315972
"4h","PM",1,"t200",2136.688,26.0792813185155,74297.716589195
"4h","PM",1,"t200",4405.089,37.4457391196845,219935.751323989
"4h","PM",1,"t200",1705.482,23.2996090376749,52982.7517610559
"4h","PM",1,"t200",1544.499,22.1727152351934,45660.9820107213
"4h","PM",1,"t200",6077.643,43.9837907824657,356423.704216689
"4h","PM",1,"t200",3943.569,35.4298885060047,186293.613314315
"4h","PM",1,"t200",2314.397,27.1421341396381,83756.8984351679
"4h","PM",1,"t200",560.828,13.3610290340483,9990.98558814302
"4h","PM",1,"t200",2333.213,27.2522432924804,84780.384438904
"4h","PM",1,"t200",5150.421,40.4898743182614,278053.198634846
"4h","PM",1,"t200",2228.678,26.6347562504394,79147.0603876222
"4h","PM",1,"t200",1889.986,24.5275605910771,61808.9948417166
"4h","PM",1,"t200",4248.81,36.7755112475211,208336.213258107
"4h","PM",1,"t200",3938.865,35.4087513172001,185960.388342698
"4h","PM",1,"t200",2530.783,28.3826223010819,95773.677353332
"4h","PM",1,"t200",2487.924,28.1412651683239,93351.1053368495
"4h","PM",1,"t200",4409.27,37.4635053332387,220248.946880919
"4h","PM",1,"t200",1941.731,24.8610573711083,64364.647720346
"4h","PM",1,"t200",4761.552,38.9313379577199,247164.786820343
"4h","PM",1,"t200",5524.132,41.93311135826,308858.72308497
"4h","PM",1,"t200",957.014,17.4535674696119,22271.0778911509
"4h","PM",1,"t200",3416.714,32.9783845035284,150236.944040785
"4h","PM",1,"t200",821.119,16.1669507153745,17699.9872059434
"4h","PM",1,"t200",5268.022,40.949523602036,287630.654966727
"4h","PM",1,"t200",4065.351,35.9727871328753,194989.341524562
"4h","PM",1,"t200",4210.132,36.6077401342767,205497.890916004
"4h","PM",1,"t200",6329.049,44.8842830714899,378766.43585244
"4h","PM",1,"t200",6217.719,44.4877671637136,368816.580215197
"4h","PM",1,"t200",4346.027,37.1938618554417,215527.37047736
"4h","PM",1,"t200",1342.747,20.6738879929158,37013.0681077649
"4h","PM",1,"t200",6023.808,43.7885560263525,351698.47213332
"4h","PM",1,"t200",5536.154,41.9787154357531,309867.511166009
"4h","PM",1,"t200",431.205,11.7156653448228,6735.80463335241
"4h","PM",1,"t200",7855.777,50.0057145009972,523778.322460667
"4h","PM",1,"t200",1042.21,18.2138888346121,25310.2627764281
"4h","PM",1,"t200",3651.917,34.0945931875224,166014.165959463
"4h","PM",1,"t200",1967.342,25.0244761804237,65642.2706903294
"4h","PM",1,"t200",5618.213,42.2886833631208,316782.440831426
"4h","PM",1,"t200",3473.163,33.2496935208094,153975.47373042
"4h","PM",1,"t200",1413.831,21.214061013703,39990.7961294197
"4h","PM",1,"t200",1460.349,21.5602301466986,41980.6140460016
"4h","PM",1,"t200",2182.16,26.3553239637615,76682.0449876824
"4h","PM",1,"t200",1185.423,19.4250317943021,30702.5059529293
"4h","PM",1,"t200",727.038,15.2126060565339,14746.856909507
"4h","PM",1,"t200",1192.74,19.4848898802856,30987.2100744157
"4h","PM",1,"t200",1157.198,19.1923829597085,29612.5162349451
"4h","PM",1,"t200",257.155,9.04737413737227,3102.10332839462
"4h","PM",1,"t200",5713.34,42.6451943966644,324861.993272318
"4h","PM",1,"t200",3742.862,34.5165174550046,172254.082072898
"4h","PM",1,"t200",2775.394,29.7226403311546,109989.383518992
"4h","PM",1,"t200",1575.337,22.392975263933,47035.3099644778
"4h","PM",1,"t200",5640.166,42.3712236962503,318640.980359981
"4h","PM",1,"t200",1415.921,21.2297350985649,40079.5036673268
"4h","PM",1,"t200",1023.917,18.0533349753348,24646.8221172532
"4h","PM",1,"t200",4670.084,38.555595009139,240077.156483546
"4h","PM",1,"t200",8781.431,52.8698052024103,619030.061824543
"4h","PM",1,"t200",5022.889,39.9854376730306,267789.886730735
"4h","PM",1,"t200",1110.68,18.8026706716523,27845.0003487877
"4h","PM",1,"t200",2003.929,25.2560965295589,67481.8990165099
"4h","PM",1,"t200",1756.704,23.6469078379946,55387.4901155153
"4h","PM",1,"t200",3374.9,32.7759673370852,147487.482887905
"4h","PM",1,"t200",2282.513,26.9545256542018,82032.0736193988
"4h","PM",1,"t200",2430.43,27.8142031465521,90133.9650046329
"4h","PM",1,"t200",894.294,16.8719477641097,20117.9755383423
"4h","PM",1,"t200",4746.917,38.8714626685683,246026.14260839
"4h","PM",1,"t200",2456.041,27.9603671501775,91562.4107945187
"4h","PM",1,"t200",351.759,10.5815106319525,4962.85546451331
"4h","PM",1,"t200",5750.45,42.7834674261633,328032.253681041
"4h","PM",1,"t200",929.835,17.2039435310543,21329.1051109305
"4h","PM",1,"t200",512.742,12.7754000979088,8733.97892933596
"4h","PM",1,"t200",877.568,16.7134248494597,19556.2224243875
"4h","PM",1,"t200",6947.894,47.0274743990898,435655.876283452
"4h","PM",1,"t200",588.53,13.6870346428928,10740.3073311756
"4h","PM",1,"t200",7970.242,50.3687087771492,535267.730908538
"4h","PM",1,"t200",6850.154,46.6955216276833,426495.352346615
"4h","PM",1,"t200",4812.774,39.1401781315352,251163.775555762
"4h","PM",1,"t200",1474.461,21.6641527203913,42590.5977123479
"4h","PM",1,"t200",2932.196,30.5507278968696,119440.962848386
"4h","PM",1,"t200",1057.368,18.3458629596534,25864.4379012304
"4h","PM",1,"t200",741.15,15.3595368466994,15178.2943119083
"4h","PM",1,"t200",4943.442,39.6679525609297,261461.630324943
"4h","PM",1,"t200",7115.149,47.5901488584635,451481.33341353
"4h","PM",1,"t200",5108.084,40.3231154135843,274631.814232378
"4h","PM",1,"t200",4052.285,35.914932509115,194050.056376932
"4h","PM",1,"t200",610.482,13.9399589646904,11346.7920382428
"4h","PM",1,"t200",3526.998,33.5063924042929,157569.305329542
"4h","PM",1,"t200",5735.815,42.7289903908492,326780.778691585
"4h","PM",1,"t200",5550.788,42.0341610658563,311096.95577923
"4h","PM",1,"t200",4214.836,36.6281854238419,205842.392718779
"4h","PM",1,"t200",4344.982,37.1893899639483,215449.639979115
"4h","PM",1,"t200",2972.442,30.7596761151336,121908.47092136
"4h","PM",1,"t200",1132.11,18.9831979720892,28654.7576749092
"4h","PM",1,"t200",5856.552,43.1763639107029,337152.827218607
"4h","PM",1,"t200",603.165,13.8561676700322,11143.4071635933
"4h","PM",1,"t200",1529.342,22.0636506035627,44990.4900551383
"4h","PM",1,"t200",1192.74,19.4848898802856,30987.2100744157
"4h","PM",1,"t200",5000.936,39.8979619651483,266036.205757521
"4h","PM",1,"t200",5751.495,42.7873546604209,328121.675190183
"4h","PM",1,"t200",6704.328,46.1958210514631,412949.248744418
"4h","PM",1,"t200",1267.482,20.0861158803787,33945.053771059
"4h","PM",1,"t200",1931.277,24.794042874436,63845.5529872163
"4h","PM",1,"t200",364.826,10.7762573529444,5241.94515339371
"4h","PM",1,"t200",1119.043,18.8733264149372,28160.0850818008
"4h","PM",1,"t200",1470.279,21.6334079873796,42409.5272830352
"4h","PM",1,"t200",839.413,16.3460532389686,18294.7861166431
"4h","PM",1,"t200",5457.753,41.6804119011466,303308.524126291
"4h","PM",1,"t200",1437.874,21.3936791900466,41015.220095612
"4h","PM",1,"t200",4945.01,39.674243159482,261586.038888094
"4h","PM",1,"t200",2359.869,27.4074740317063,86237.3977809717
"4h","PM",1,"t200",2955.194,30.6703026687221,120848.925899722
"4h","PM",1,"t200",6030.08,43.8113464581854,352247.898734099
"4h","PM",1,"t200",978.444,17.6479006762055,23023.3100389722
"4h","PM",1,"t200",702.473,14.9533976298762,14005.8107910027
"4h","PM",1,"t200",1771.862,23.7487092607869,56105.9139843151
"4h","PM",1,"t200",6580.977,45.7688763227605,401605.229861242
"4h","PM",1,"t200",1472.893,21.6526303988892,42522.6769948149
"4h","PM",1,"t200",5493.817,41.8178940644382,306319.809753879
"4h","PM",1,"t200",715.539,15.091823536275,14398.3844284302
"4h","PM",1,"t200",1513.661,21.9502451155071,44300.3066290448
"4h","PM",1,"t200",801.258,15.9702330222152,17061.7026278854
"4h","PM",1,"t200",3554.177,33.6352445560761,159394.150120774
"4h","PM",1,"t200",1860.194,24.3334777707538,60353.3191310528
"4h","PM",1,"t200",5995.583,43.6858483073806,349229.505936413
"4h","PM",1,"t200",5629.189,42.3299717682052,317711.215263855
"4h","PM",1,"t200",5834.077,43.093437851458,335213.912826827
"4h","PM",1,"t200",3930.502,35.3711414046135,185368.456044155
"4h","PM",1,"t200",1457.213,21.5370681425198,41845.4609055542
"4h","PM",1,"t200",6862.698,46.738256485386,427667.385740994
"4h","PM",1,"t200",4075.805,36.019009226481,195741.943867117
"4h","PM",1,"t200",5886.345,43.28604633122,339728.803188727
"4h","PM",1,"t200",6177.474,44.3435569823095,365241.560434313
"4h","PM",1,"t200",1075.661,18.5038787956024,26538.5343588752
"4h","PM",1,"t200",1423.239,21.2845259308807,40390.6232017876
"4h","PM",1,"t200",5913.001,43.3839449026324,342039.079457613
"4h","PM",1,"t200",1008.759,17.9192065247565,24101.5478062757
"4h","PM",1,"t200",1039.597,18.1910418268721,25215.136680121
"4h","PM",1,"t200",5439.982,41.6124987385025,301828.325483302
"4h","PM",1,"t200",2170.139,26.2826311105453,76049.283727477
"4h","PM",1,"t200",3076.977,31.2958814967743,128395.6100804
"4h","PM",1,"t200",1561.747,22.2961770224825,46427.983435108
"4h","PM",1,"t200",2077.103,25.7130787639678,71211.6173864983
"4h","PM",1,"t200",1146.745,19.1055036686247,29212.1877393027
"4h","PM",1,"t200",2095.919,25.8292806392366,72181.4400641443
"4h","PM",1,"t200",789.759,15.8552230322574,16695.7401156434
"4h","PM",1,"t200",3837.989,34.9523939346741,178862.537926594
"4h","PM",1,"t200",2758.669,29.6329481390015,108996.660546228
"4h","PM",1,"t200",1973.614,25.0643341764894,65956.4277751973
"4h","PM",1,"t200",3548.428,33.6080304809933,159007.56851148
"4h","PM",1,"t200",7804.032,49.8407517769813,518611.762362158
"4h","PM",1,"t200",3638.328,34.0311000641957,165088.40564582
"4h","PM",1,"t200",916.246,17.0777680033532,20863.2488293338
"4h","PM",1,"t200",2033.198,25.4398707537816,68965.7257824629
"4h","PM",1,"t200",3478.912,33.2772006449374,154357.936866774
"4h","PM",1,"t200",650.728,14.3921213035676,12487.1417488373
"4h","PM",1,"t200",2204.113,26.4875623296334,77842.1072920736
"4h","PM",1,"t200",5424.824,41.554483633022,300567.680160033
"4h","PM",1,"t200",5360.013,41.3055096563841,295197.424973126
"4h","PM",1,"t200",5482.841,41.7760995627143,305402.282003376
"4h","PM",1,"t200",5977.812,43.6210574991952,347677.974628506
"4h","PM",1,"t200",6444.56,45.2920209319987,389182.861890029
"4h","PM",1,"t200",1461.917,21.5718018227534,42048.2450737523
"4h","PM",1,"t200",1994.521,25.1967409103078,67007.2385028908
"4h","PM",1,"t200",3629.965,33.9919659037418,164519.528682368
"4h","PM",1,"t200",2525.556,28.353296861402,95477.1186774601
"4h","PM",1,"t200",2710.583,29.3735487509037,106159.255858494
"4h","PM",1,"t200",8267.643,51.299829457204,565504.901217395
"4h","PM",1,"t200",3663.939,34.1506662610607,166834.610653179
"4h","PM",1,"t200",3825.967,34.8976090916403,178022.801018021
"4h","PM",1,"t200",929.313,17.1991137928417,21311.1467148894
"4h","PM",1,"t200",5055.817,40.1162876377672,270427.478687884
"4h","PM",1,"t200",3729.273,34.4538018827862,171316.844145098
"4h","PM",1,"t200",3144.924,31.6395385632704,132671.925568739
"4h","PM",1,"t200",630.866,14.1707757253166,11919.8141316368
"4h","PM",1,"t200",4230.516,36.6962541202601,206992.120261102
"4h","PM",1,"t200",879.136,16.7283495928341,19608.6591301944
"4h","PM",1,"t200",3269.843,32.2617940165897,140654.66844345
"4h","PM",1,"t200",4960.168,39.7350036055426,262789.724485462
"4h","PM",1,"t200",5627.621,42.3240758906265,317578.477716911
"4h","PM",1,"t200",724.948,15.1907246492446,14683.3139373607
"4h","PM",1,"t200",1725.344,23.4348896363496,53910.9949663173
"4h","PM",1,"t200",1860.194,24.3334777707538,60353.3191310528
"4h","PM",1,"t200",938.198,17.2811370747952,21617.5043217316
"4h","PM",1,"t200",5991.925,43.6725195606094,348909.949024273
"4h","PM",1,"t200",2819.299,29.956814647223,112609.623437468
"4h","PM",1,"t200",1467.666,21.6141758440108,42296.5213390346
"4h","PM",1,"t200",957.014,17.4535674696119,22271.0778911509
"4h","PM",1,"t200",3112.518,31.4761060222671,130626.595418953
"4h","PM",1,"t200",3992.7,35.6499071887434,189785.845909995
"4h","PM",1,"t200",832.618,16.2797586227369,18073.0934199279
"4h","PM",1,"t200",3461.664,33.1946060956675,153211.43055407
"4h","PM",1,"t200",4342.368,37.1782014606427,215255.243093664
"4h","PM",1,"t200",2248.54,26.7531775959362,80207.4532687551
"4h","PM",1,"t200",4219.54,36.6486193075258,206187.08681717
"4h","PM",1,"t200",5562.287,42.0776774773939,312064.157896934
"4h","PM",1,"t200",1701.301,23.2710319426185,52788.0398866783
"4h","PM",1,"t200",968.513,17.5581110258912,22673.6783786919
"4h","PM",1,"t200",10093.863,56.6831225558788,762868.897988334
"4h","PM",1,"t200",1268.528,20.0944022877256,33987.0825936586
"4h","PM",1,"t200",1107.544,18.7761072798261,27727.1532815037
"4h","PM",1,"t200",933.494,17.2377599731883,21455.1273445485
"4h","PM",1,"t200",963.287,17.5106760387007,22490.4087857224
"4h","PM",1,"t200",1300.933,20.349443116772,35297.6827763086
"4h","PM",1,"t200",803.871,15.9962522647166,17145.2310723866
"4h","PM",1,"t200",1227.236,19.7646490350993,32341.1850976521
"4h","PM",1,"t200",863.979,16.5835176351456,19103.747977194
"4h","PM",1,"t200",331.375,10.2703426687795,4537.77973582243
"4h","PM",1,"t200",629.821,14.1590342476513,11890.2094785199
"4h","PM",1,"t200",1069.912,18.4543644416889,26326.0612913817
"4h","PM",1,"t200",748.468,15.4351794253326,15403.6504988264
"4h","PM",1,"t200",3603.831,33.8693819759915,162746.038287892
"4h","PM",1,"t200",3364.447,32.7251698489312,146802.799363636
"4h","PM",1,"t200",6254.829,44.6203306474646,372123.384164467
"4h","PM",1,"t200",1054.754,18.3231718240019,25768.5850320711
"4h","PM",1,"t200",6206.743,44.4484831901162,367840.415867828
"4h","PM",1,"t200",3943.046,35.4275390547728,186256.554879687
"4h","PM",1,"t200",833.664,16.2899813675622,18107.1613690765
"4h","PM",1,"t200",4685.764,38.6202667717884,241287.274279523
"4h","PM",1,"t200",5200.075,40.6845828465424,282083.842860979
"4h","PM",1,"t200",800.213,15.959815442316,17028.3357260561
"4h","PM",1,"t200",3563.585,33.6797318242925,160027.449510762
"4h","PM",1,"t200",377.37,10.9599544592657,5514.61068572411
"4h","PM",1,"t200",707.699,15.0089169543436,14162.3940262293
"4h","PM",1,"t200",2963.557,30.7136694546447,121362.280143998
"4h","PM",1,"t200",6821.407,46.5974386182686,423813.458630304
"4h","PM",1,"t200",3706.798,34.3498245917836,169770.481462899
"4h","PM",1,"t200",4614.158,38.3240408596749,235777.572966661
"4h","PM",1,"t200",3470.549,33.2371788391444,153801.677044018
"4h","PM",1,"t200",3546.86,33.6006042045354,158902.185371864
"4h","PM",1,"t200",2151.323,26.1684424311913,75062.3627685302
"4h","PM",1,"t200",5603.056,42.2316009362824,315501.366687523
"4h","PM",1,"t200",1063.64,18.4001936767124,26094.9093363978
"4h","PM",1,"t200",1942.776,24.8677463281376,64416.6143205251
"4h","PM",1,"t200",3959.249,35.5002549084269,187405.798327912
"4h","PM",1,"t200",3581.356,33.7636049725683,161225.98566685
