"StrainBackgroundRep","DS_defreq_mode","Variant_impact","Mut_num","Mut_num_total","Mut_perc"
"PA_5_t600_rep3","Increase","Low",1,3,33.3333333333333
"PA_5_t600_rep3","Increase","Modifier",2,3,66.6666666666667
"PA_5_t600_rep3","Decrease","High",0,3,0
"PA_5_t600_rep3","Decrease","Moderate",2,3,66.6666666666667
"PA_5_t600_rep3","Decrease","Low",0,3,0
"PA_5_t600_rep3","Decrease","Modifier",1,3,33.3333333333333
"PA_5_t600_rep3","Same","High",2,27,7.40740740740741
"PA_5_t600_rep3","Same","Moderate",16,27,59.2592592592593
"PA_5_t600_rep3","Same","Low",3,27,11.1111111111111
"PA_5_t600_rep3","Same","Modifier",6,27,22.2222222222222
"PA_5_t1000_rep1","Gain","High",0,0,NA
"PA_5_t1000_rep1","Gain","Moderate",0,0,NA
"PA_5_t1000_rep1","Gain","Low",0,0,NA
"PA_5_t1000_rep1","Gain","Modifier",0,0,NA
"PA_5_t1000_rep1","Loss","High",0,0,NA
"PA_5_t1000_rep1","Loss","Moderate",0,0,NA
"PA_5_t1000_rep1","Loss","Low",0,0,NA
"PA_5_t1000_rep1","Loss","Modifier",0,0,NA
"PA_5_t1000_rep1","LOH","High",0,1,0
"PA_5_t1000_rep1","LOH","Moderate",1,1,100
"PA_5_t1000_rep1","LOH","Low",0,1,0
"PA_5_t1000_rep1","LOH","Modifier",0,1,0
"PA_5_t1000_rep1","Increase","High",0,4,0
"PA_5_t1000_rep1","Increase","Moderate",1,4,25
"PA_5_t1000_rep1","Increase","Low",1,4,25
"PA_5_t1000_rep1","Increase","Modifier",2,4,50
"PA_5_t1000_rep1","Decrease","High",0,8,0
"PA_5_t1000_rep1","Decrease","Moderate",5,8,62.5
"PA_5_t1000_rep1","Decrease","Low",1,8,12.5
"PA_5_t1000_rep1","Decrease","Modifier",2,8,25
"PA_5_t1000_rep1","Same","High",1,42,2.38095238095238
"PA_5_t1000_rep1","Same","Moderate",25,42,59.5238095238095
"PA_5_t1000_rep1","Same","Low",6,42,14.2857142857143
"PA_5_t1000_rep1","Same","Modifier",10,42,23.8095238095238
"PA_5_t1000_rep2","Gain","High",0,0,NA
"PA_5_t1000_rep2","Gain","Moderate",0,0,NA
"PA_5_t1000_rep2","Gain","Low",0,0,NA
"PA_5_t1000_rep2","Gain","Modifier",0,0,NA
"PA_5_t1000_rep2","Loss","High",0,1,0
"PA_5_t1000_rep2","Loss","Moderate",1,1,100
"PA_5_t1000_rep2","Loss","Low",0,1,0
"PA_5_t1000_rep2","Loss","Modifier",0,1,0
"PA_5_t1000_rep2","LOH","High",0,0,NA
"PA_5_t1000_rep2","LOH","Moderate",0,0,NA
"PA_5_t1000_rep2","LOH","Low",0,0,NA
"PA_5_t1000_rep2","LOH","Modifier",0,0,NA
"PA_5_t1000_rep2","Increase","High",0,8,0
"PA_5_t1000_rep2","Increase","Moderate",4,8,50
"PA_5_t1000_rep2","Increase","Low",1,8,12.5
"PA_5_t1000_rep2","Increase","Modifier",3,8,37.5
"PA_5_t1000_rep2","Decrease","High",0,5,0
"PA_5_t1000_rep2","Decrease","Moderate",3,5,60
"PA_5_t1000_rep2","Decrease","Low",0,5,0
"PA_5_t1000_rep2","Decrease","Modifier",2,5,40
"PA_5_t1000_rep2","Same","High",2,40,5
"PA_5_t1000_rep2","Same","Moderate",23,40,57.5
"PA_5_t1000_rep2","Same","Low",6,40,15
"PA_5_t1000_rep2","Same","Modifier",9,40,22.5
