"Condition","Line","EvoTime","Chr","CCN"
"PM",4,"t200","X",4
"PM",4,"t200","XI",4
"PM",4,"t200","XII",4
"PM",4,"t200","XIII",4
"PM",4,"t200","XIV",4
"PM",4,"t200","XV",4
"PM",4,"t200","XVI",4
"PM",4,"t400","I",4
"PM",4,"t400","II",4
"PM",4,"t400","III",4
"PM",4,"t400","IV",4
"PM",4,"t400","V",4
"PM",4,"t400","VI",4
"PM",4,"t400","VII",4
"PM",4,"t400","VIII",4
"PM",4,"t400","IX",4
"PM",4,"t400","X",4
"PM",4,"t400","XI",4
"PM",4,"t400","XII",4
"PM",4,"t400","XIII",4
"PM",4,"t400","XIV",4
"PM",4,"t400","XV",4
"PM",4,"t400","XVI",4
"PM",4,"t600","I",4
"PM",4,"t600","II",4
"PM",4,"t600","III",5
"PM",4,"t600","IV",4
"PM",4,"t600","V",4
"PM",4,"t600","VI",4
"PM",4,"t600","VII",4
"PM",4,"t600","VIII",4
"PM",4,"t600","IX",4
"PM",4,"t600","X",4
"PM",4,"t600","XI",4
"PM",4,"t600","XII",4
"PM",4,"t600","XIII",4
"PM",4,"t600","XIV",4
"PM",4,"t600","XV",4
"PM",4,"t600","XVI",4
"PM",5,"t1000","I",4
"PM",5,"t1000","II",4
"PM",5,"t1000","III",4
"PM",5,"t1000","IV",4
"PM",5,"t1000","V",4
"PM",5,"t1000","VI",4
"PM",5,"t1000","VII",4
"PM",5,"t1000","VIII",4
"PM",5,"t1000","IX",4
"PM",5,"t1000","X",4
"PM",5,"t1000","XI",4
"PM",5,"t1000","XII",4
"PM",5,"t1000","XIII",5
"PM",5,"t1000","XIV",4
"PM",5,"t1000","XV",4
"PM",5,"t1000","XVI",4
"PM",5,"t200","I",4
"PM",5,"t200","II",4
"PM",5,"t200","III",4
"PM",5,"t200","IV",4
"PM",5,"t200","V",4
"PM",5,"t200","VI",4
"PM",5,"t200","VII",4
"PM",5,"t200","VIII",4
"PM",5,"t200","IX",4
"PM",5,"t200","X",4
"PM",5,"t200","XI",4
"PM",5,"t200","XII",4
"PM",5,"t200","XIII",4
"PM",5,"t200","XIV",4
"PM",5,"t200","XV",4
"PM",5,"t200","XVI",4
"PM",5,"t400","I",4
"PM",5,"t400","II",4
"PM",5,"t400","III",4
"PM",5,"t400","IV",4
"PM",5,"t400","V",4
"PM",5,"t400","VI",4
"PM",5,"t400","VII",4
"PM",5,"t400","VIII",4
"PM",5,"t400","IX",4
"PM",5,"t400","X",4
"PM",5,"t400","XI",4
"PM",5,"t400","XII",4
"PM",5,"t400","XIII",4
"PM",5,"t400","XIV",4
"PM",5,"t400","XV",4
"PM",5,"t400","XVI",4
"PM",5,"t600","I",4
"PM",5,"t600","II",4
"PM",5,"t600","III",4
"PM",5,"t600","IV",4
"PM",5,"t600","V",4
"PM",5,"t600","VI",4
"PM",5,"t600","VII",4
"PM",5,"t600","VIII",5
"PM",5,"t600","IX",4
"PM",5,"t600","X",4
"PM",5,"t600","XI",4
"PM",5,"t600","XII",4
"PM",5,"t600","XIII",4
"PM",5,"t600","XIV",4
"PM",5,"t600","XV",4
"PM",5,"t600","XVI",4
