"Cell_volume","Cell_AR","Cluster_radius","Cluster_ncells","Cluster_packfrac"
25,1,19.0345084045284,328,0.283857418070853
25,1,14.5324512097033,192,0.373367066330955
25,1,13.915440176769,192,0.42526709671102
25,1,13.3124431868212,166,0.419938976424566
25,1,18.2472967988072,329,0.323185367236273
25,1,14.3392403797268,212,0.429149711236599
25,1,17.9545343511568,342,0.352659077179524
25,1,14.0838757828625,188,0.401645301204614
25,1,15.9044274330091,308,0.456928239047295
25,1,14.9567952759625,215,0.383507809151575
25,1,18.1679204633283,347,0.345354575611252
25,1,17.2171887607101,343,0.401105665924521
25,1,15.0897154119121,207,0.359565982212096
25,1,13.6558762902164,172,0.403107728671553
25,1,16.5536459669071,251,0.330250993476424
25,1,17.410266430574,355,0.40147961665468
25,1,15.7596214864001,211,0.321733665876985
25,1,18.5680440919621,397,0.370120746934254
25,1,18.4133798654052,355,0.339374505690432
25,1,14.0373798764318,204,0.440173008739676
25,1,17.4619351275773,370,0.414740084756405
25,1,17.428303208772,343,0.3867053660431
25,1,15.5579358086225,272,0.43108645530273
25,1,14.8327432642073,188,0.343830825154176
25,1,18.7066218439672,333,0.303605427980258
25,1,13.9196986405317,195,0.431515610975003
25,1,14.4581192443021,192,0.379155378619741
25,1,14.6215530270247,212,0.404768539199869
25,1,17.5676568853347,353,0.388583703279667
25,1,13.9347651432044,201,0.443351820669816
25,1,18.1892979533928,401,0.397693012819611
25,1,15.6317027810661,196,0.306258819527632
25,1,16.9880049990733,311,0.378603520537373
25,1,18.3472903555758,384,0.371079379628733
25,1,16.9911244612197,328,0.399079004008881
25,1,16.89524675171,338,0.418287111272714
25,1,17.2060385489287,309,0.362048876457926
25,1,13.4757990911132,170,0.414607103083519
25,1,18.575229372306,370,0.344548661934451
25,1,13.6415632655223,206,0.484313076594784
25,1,17.0754685690777,347,0.415970932821508
25,1,14.9684693497863,213,0.379052028936681
25,1,16.6648196380213,303,0.390743871156409
25,1,14.5022859850224,213,0.416794142917362
25,1,14.3959213832194,197,0.394093458990322
25,1,17.671325192707,355,0.383947987499373
25,1,14.4975899314299,188,0.368232243809851
25,1,13.4902513122023,200,0.486207075001359
25,1,13.8949612186693,198,0.440498640786056
25,1,15.0028628258034,211,0.372916362466917
25,1.1,18.5327134795933,358,0.33567375865627
25,1.1,18.7298002153401,390,0.354255475536955
25,1.1,18.3799494111847,299,0.28740191169782
25,1.1,18.39294168161,384,0.36832317210496
25,1.1,18.6913372336075,394,0.360102802751818
25,1.1,17.1092094570315,351,0.418281528592226
25,1.1,17.77138289262,361,0.383879507653528
25,1.1,19.1319426802001,392,0.334087520458006
25,1.1,17.3776170877167,360,0.409433364260793
25,1.1,19.6975394285032,387,0.30222224613264
25,1.1,18.5858316092105,351,0.326296579870688
25,1.1,19.5548205560263,346,0.276163318727078
25,1.1,19.1407892130649,315,0.268091121345634
25,1.1,14.9975886334181,197,0.348540551332562
25,1.1,17.5837893611014,335,0.36775517139271
25,1.1,20.0345426854661,391,0.290194953740513
25,1.1,14.7652551582178,195,0.36154565075615
25,1.1,18.7410564168443,385,0.349083984766342
25,1.1,18.9498965747464,345,0.302586788795613
25,1.1,18.8007975617284,408,0.366423014254213
25,1.1,23.8382656150536,615,0.270958357806755
25,1.1,19.1548019452454,373,0.31675773843952
25,1.1,19.5193032638434,357,0.286501355286351
25,1.1,19.2411635464791,410,0.343511485867455
25,1.1,15.7273585500403,211,0.32371773349117
25,1.1,18.2882988584876,291,0.2839386139179
25,1.1,18.2228864791315,351,0.34618401196448
25,1.1,19.886480052962,338,0.256504118622603
25,1.1,18.4631534854448,342,0.324309645393259
25,1.1,19.0537822965834,366,0.31578310334453
25,1.1,23.9035712841841,587,0.256508125816184
25,1.1,22.1227346005722,519,0.286089770536534
25,1.1,19.1949423706184,369,0.311399081926099
25,1.1,19.1615540364685,406,0.344417530306589
25,1.1,17.7276343594022,335,0.358875532203994
25,1.1,18.9303932960155,358,0.314960082297206
25,1.1,15.0892731909591,213,0.370020715251902
25,1.1,19.2794595445839,396,0.329808632980682
25,1.1,19.3332041022359,375,0.309721361387925
25,1.1,19.7839794752203,369,0.284404724871719
25,1.1,17.4851392983413,330,0.368432598939047
25,1.1,18.5526076049315,404,0.37758774203166
25,1.1,18.3139162040381,347,0.337160901190529
25,1.1,17.7516157027771,350,0.373427056447423
25,1.1,18.3286474034987,338,0.327624861160653
