"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",1,"t600","D","rep1",5045.364,40.0747955777169,269589.241220229
"PA",1,"t600","D","rep1",347.055,10.510520327249,4863.63817623123
"PA",1,"t600","D","rep1",158.893,7.11176579657971,1506.67973695459
"PA",1,"t600","D","rep1",569.714,13.4664619888563,10229.3759006924
"PA",1,"t600","D","rep1",100.876,5.66655345679153,762.15899534307
"PA",1,"t600","D","rep1",142.69,6.73940929604109,1282.19508326947
"PA",1,"t600","D","rep1",336.601,10.351010868478,4645.54747912076
"PA",1,"t600","D","rep1",664.318,14.541629446862,12880.3549211739
"PA",1,"t600","D","rep1",173.005,7.42086260883644,1711.795114189
"PA",1,"t600","D","rep1",256.632,9.03816921235261,3092.64458840597
