"Condition","Line","EvoTime","Cluster.Weighted_mean_radius","Cell.Mean_volume","Cell.Mean_AR"
"PM",1,"t200",39.3337176799085,150.780630406759,1.38329639591178
"PM",1,"t400",41.1848263621419,147.145069209432,1.39576281112738
"PM",1,"t600",41.4549177172929,143.270183197256,1.42242789223455
"PM",1,"t1000",44.8695401593031,153.513326459081,1.50573211219233
"PM",2,"t200",39.5158711968702,148.061051657816,1.38746265938069
"PM",2,"t400",39.9001800929121,145.717712517675,1.41363609172483
"PM",2,"t600",41.5077137965394,145.975541703836,1.44725278396437
"PM",2,"t1000",39.1417572458651,132.631419413472,1.36329007177033
"PM",3,"t200",39.909643230513,169.264105538857,1.38987432117921
"PM",3,"t400",61.2383202469298,139.632708742503,1.50670822454308
"PM",3,"t600",38.7067716070156,151.461816239603,1.39813807531381
"PM",3,"t1000",37.6543796210835,154.275134896941,1.37932242712671
"PM",4,"t200",44.6644865787064,153.067668088054,1.37738081671415
"PM",4,"t400",45.6675764056429,141.20659381915,1.38158255227109
"PM",4,"t600",45.222758225131,145.798815764889,1.4027782497876
"PM",4,"t1000",50.9088707516235,141.175964189308,1.43297067171239
"PM",5,"t200",41.210552999838,144.077396302339,1.43195534883721
"PM",5,"t400",47.3563846181676,158.386946395397,1.38556268011527
"PM",5,"t600",67.7262028531605,159.356598569881,1.59633671742809
"PM",5,"t1000",53.2256678637685,155.8162600808,1.44535003796507
"PM",NA,"t0",24.7751285066609,80.8685287705666,1.26009162098669
"PA",1,"t200",43.8395411589486,147.226149656349,1.53988322717622
"PA",1,"t400",68.7222803804175,157.476369733431,1.878286
"PA",1,"t600",476.643147237832,162.365542093665,2.10740128068303
"PA",1,"t1000",412.442658172987,171.42560082555,2.0908622327791
"PA",2,"t200",40.2068460488771,136.204238620236,1.34947067137809
"PA",2,"t400",44.1309298086683,119.846839312871,1.45586022131625
"PA",2,"t600",356.306765581963,187.346845101675,2.42387380191693
"PA",2,"t1000",348.654219302386,170.473562609219,2.44875037593985
"PA",3,"t200",46.581614978941,151.823370420013,1.547490785645
"PA",3,"t400",58.8306687498677,173.063798932684,1.73108907138345
"PA",3,"t600",95.7334641486717,154.614716154194,1.9731853188929
"PA",3,"t1000",448.6379636827,162.876987264234,2.92843295638126
"PA",4,"t200",42.2740912274676,138.115690526974,1.50231447688564
"PA",4,"t400",56.7609083145994,167.767185641825,1.73566446402349
"PA",4,"t600",342.443072417511,205.31095057043,2.11464107883817
"PA",4,"t1000",319.648938805016,186.422353588497,2.11596214511041
"PA",5,"t200",39.773354793108,139.62400828617,1.39086999419617
"PA",5,"t400",67.5312192670695,183.618164119884,1.8610136402387
"PA",5,"t600",293.626369912039,153.102880890119,2.90585494880546
"PA",5,"t1000",470.987793928912,164.046875263143,2.22706512301013
"PA",NA,"t0",18.8269208645938,61.5300933612022,1.24285132275132
