"Condition","Line","EvoTime","Replicate","DNA_content"
"PM",NA,"t0","A",2.66630098916951
"PM",NA,"t0","A",2.00941979769789
"PM",NA,"t0","A",3.17572516268661
"PM",NA,"t0","A",2.29075423475859
"PM",NA,"t0","A",4.15239138575447
"PM",NA,"t0","A",2.41107845734731
"PM",NA,"t0","A",3.08804302184024
"PM",NA,"t0","A",2.68296966073058
"PM",NA,"t0","A",1.09407738848303
"PM",NA,"t0","A",3.70295330799254
"PM",NA,"t0","A",4.04860382307243
"PM",NA,"t0","A",2.77106543809404
"PM",NA,"t0","A",4.13177116533863
"PM",NA,"t0","A",2.08320551172539
"PM",NA,"t0","A",4.08988826778891
"PM",NA,"t0","A",1.81661237607166
"PM",NA,"t0","A",4.26936251232167
"PM",NA,"t0","A",2.11851422888644
"PM",NA,"t0","A",4.41894051752339
"PM",NA,"t0","A",2.14365804865941
"PM",NA,"t0","A",2.94053319922397
"PM",NA,"t0","A",3.59061139010598
"PM",NA,"t0","A",4.0008508072908
"PM",NA,"t0","A",2.16999877409885
"PM",NA,"t0","A",3.94801974320361
"PM",NA,"t0","A",4.18110832097295
"PM",NA,"t0","A",1.48488469014153
"PM",NA,"t0","A",4.13467542173523
"PM",NA,"t0","A",3.98502701031783
"PM",NA,"t0","A",1.70251030279322
"PM",NA,"t0","A",4.10364388217643
"PM",NA,"t0","A",2.47313273568794
"PM",NA,"t0","A",2.41112246123211
"PM",NA,"t0","A",4.14537716651784
"PM",NA,"t0","A",1.09035465982921
"PM",NA,"t0","A",2.48497858147528
"PM",NA,"t0","A",2.4963931891916
"PM",NA,"t0","A",1.98671379314268
"PM",NA,"t0","A",3.85786458403166
"PM",NA,"t0","A",3.51367499792703
"PM",NA,"t0","A",2.15678000710585
"PM",NA,"t0","A",4.33388100821093
"PM",NA,"t0","A",3.07096951453903
"PM",NA,"t0","A",4.3448291747484
"PM",NA,"t0","A",2.33693191146448
"PM",NA,"t0","A",2.22821591368519
"PM",NA,"t0","A",3.48728146782583
"PM",NA,"t0","A",1.97666330585506
"PM",NA,"t0","A",1.9201623177758
"PM",NA,"t0","A",3.35916855762805
"PM",NA,"t0","A",2.16147082122521
"PM",NA,"t0","A",4.33308013750762
"PM",NA,"t0","A",2.14296278727962
"PM",NA,"t0","A",1.85139304661516
"PM",NA,"t0","A",1.84933366480666
"PM",NA,"t0","A",2.52502211664048
"PM",NA,"t0","A",2.73361813213185
"PM",NA,"t0","A",1.81030221899178
"PM",NA,"t0","A",1.93648775903546
"PM",NA,"t0","A",3.82880441851176
"PM",NA,"t0","A",3.71214131913814
"PM",NA,"t0","A",2.82110665588511
"PM",NA,"t0","A",1.80584022507338
"PM",NA,"t0","A",3.66921112913026
"PM",NA,"t0","A",1.60496249097539
"PM",NA,"t0","A",1.74228981464965
"PM",NA,"t0","A",3.10233548362229
"PM",NA,"t0","A",2.88926867343555
"PM",NA,"t0","A",1.74772869481055
"PM",NA,"t0","A",3.58549813869258
"PM",NA,"t0","A",1.7997676889714
"PM",NA,"t0","A",2.52393962107448
"PM",NA,"t0","A",1.85894411324631
"PM",NA,"t0","A",1.9322105814332
"PM",NA,"t0","A",2.60295299661585
"PM",NA,"t0","A",1.37356366238225
"PM",NA,"t0","A",3.57897676296567
"PM",NA,"t0","A",1.92283775397145
"PM",NA,"t0","A",1.86458541127728
"PM",NA,"t0","A",1.75366921925814
"PM",NA,"t0","A",1.79921324002296
"PM",NA,"t0","A",1.81631314965505
"PM",NA,"t0","A",3.49900410273573
"PM",NA,"t0","A",1.85494856050675
"PM",NA,"t0","A",2.15839054928942
"PM",NA,"t0","A",3.64668994089119
"PM",NA,"t0","A",1.8021086956426
"PM",NA,"t0","A",3.84479543024697
"PM",NA,"t0","A",3.86560046697896
"PM",NA,"t0","A",1.72070150876828
"PM",NA,"t0","A",1.86088028417738
"PM",NA,"t0","A",4.0498887365085
"PM",NA,"t0","A",1.83600048771319
"PM",NA,"t0","A",1.96415740179577
"PM",NA,"t0","A",2.02585084828107
"PM",NA,"t0","A",4.26740873983668
"PM",NA,"t0","A",3.35751401155968
"PM",NA,"t0","A",3.92079013929127
"PM",NA,"t0","A",4.12308479847971
"PM",NA,"t0","A",4.23738048885126
"PM",NA,"t0","A",2.15676240555193
"PM",NA,"t0","A",2.09237592131707
"PM",NA,"t0","A",2.00369049189733
"PM",NA,"t0","A",2.35297572786145
"PM",NA,"t0","A",4.20502883274856
"PM",NA,"t0","A",3.03554638727751
"PM",NA,"t0","A",1.92866386831857
"PM",NA,"t0","A",1.80755637658046
"PM",NA,"t0","A",3.85717812342882
"PM",NA,"t0","A",1.97363583858103
"PM",NA,"t0","A",4.0602032471049
"PM",NA,"t0","A",1.79210221223977
"PM",NA,"t0","A",4.02019491504753
"PM",NA,"t0","A",2.03186177894433
"PM",NA,"t0","A",3.92479449280779
"PM",NA,"t0","A",4.61863894750882
"PM",NA,"t0","A",1.99110538084541
"PM",NA,"t0","A",3.88086101422653
"PM",NA,"t0","A",2.99257219338482
"PM",NA,"t0","A",2.0086805324333
"PM",NA,"t0","A",4.05864550958309
"PM",NA,"t0","A",3.42664411457566
"PM",NA,"t0","A",2.03620936276226
"PM",NA,"t0","A",1.60754991940145
"PM",NA,"t0","A",2.0308056857092
"PM",NA,"t0","A",1.7653126471754
"PM",NA,"t0","A",2.86674748519648
"PM",NA,"t0","A",1.83019197492
"PM",NA,"t0","A",3.22663765739665
"PM",NA,"t0","A",3.93047979472355
"PM",NA,"t0","A",3.37500995615494
"PM",NA,"t0","A",4.05807345908073
"PM",NA,"t0","A",2.09932853511498
"PM",NA,"t0","A",1.69711542651712
"PM",NA,"t0","A",1.85339082298494
"PM",NA,"t0","A",2.00775645085257
"PM",NA,"t0","A",1.39463272242302
"PM",NA,"t0","A",3.88563983611548
"PM",NA,"t0","A",4.15302504169555
"PM",NA,"t0","A",2.51963604114134
"PM",NA,"t0","A",4.27684317273715
"PM",NA,"t0","A",2.64450146464111
